TT	PID	AT	CT	IO_D	WT	RT	TRT
10	4  	4 	6 	0   	0 	0 	6
16	1  	1 	15	0   	0 	0 	15
16	1047 	2 	14	0   	0 	0 	14
68	1048 	6 	10	0   	38	10	62
50	1049 	11	5 	0   	24	9 	39
52	1050 	14	2 	0   	26	6 	38
16	1047 	2 	14	0   	0 	0 	14
68	1048 	6 	10	0   	38	10	62
50	1049 	11	5 	0   	24	9 	39
16	6  	6 	10	0   	0 	0 	10
18	9  	12	2 	0   	4 	4 	6
20	8  	11	4 	0   	5 	5 	9
26	12 	17	9 	0   	0 	0 	9
77	1052 	19	7 	0   	33	7 	58
26	11 	16	6 	0   	4 	4 	10
27	10 	14	3 	16  	10	4 	13
35	14 	21	8 	0   	6 	6 	14
101	1051 	16	20	0   	4 	4 	85
101	1053 	29	11	0   	0 	0 	72
101	1054 	32	8 	0   	17	8 	69
101	1053 	29	11	0   	0 	0 	72
48	5  	5 	9 	0   	19	5 	43
50	16 	42	8 	0   	0 	0 	8
76	1055 	45	5 	0   	8 	6 	31
50	1049 	11	5 	0   	24	9 	39
51	15 	31	15	4   	5 	4 	20
51	1056 	50	1 	0   	0 	0 	1
51	1056 	50	1 	0   	0 	0 	1
52	1050 	14	2 	0   	26	6 	38
54	2  	2 	8 	0   	28	14	52
68	1048 	6 	10	0   	38	10	62
73	17 	53	20	0   	0 	0 	20
189	1057 	58	15	0   	108	15	131
73	1058 	63	10	0   	0 	0 	10
73	1058 	63	10	0   	0 	0 	10
76	1055 	45	5 	0   	8 	6 	31
77	1052 	19	7 	0   	33	7 	58
84	19 	75	9 	0   	0 	0 	9
91	1059 	78	6 	0   	6 	6 	13
101	1054 	32	8 	0   	17	8 	69
87	13 	19	14	0   	49	7 	68
91	1060 	84	6 	0   	0 	0 	7
95	1061 	85	5 	0   	5 	5 	10
113	1062 	88	2 	0   	18	7 	25
90	20 	80	10	0   	0 	0 	10
91	1059 	78	6 	0   	6 	6 	13
91	1060 	84	6 	0   	0 	0 	7
95	1061 	85	5 	0   	5 	5 	10
113	1062 	88	2 	0   	18	7 	25
95	1061 	85	5 	0   	5 	5 	10
95	1063 	92	3 	0   	0 	0 	3
95	1063 	92	3 	0   	0 	0 	3
101	3  	3 	20	0   	40	13	98
101	1051 	16	20	0   	4 	4 	85
101	1053 	29	11	0   	0 	0 	72
101	1054 	32	8 	0   	17	8 	69
111	18 	64	6 	0   	24	9 	47
113	1062 	88	2 	0   	18	7 	25
119	24 	115	4 	0   	0 	0 	4
125	25 	116	6 	0   	3 	3 	9
133	28 	121	8 	0   	4 	4 	12
313	1064 	101	34	0   	0 	0 	212
313	1065 	106	29	0   	1 	1 	207
337	1066 	113	23	0   	97	23	224
313	1068 	121	15	0   	54	14	192
313	1067 	115	20	0   	80	21	198
313	1065 	106	29	0   	1 	1 	207
337	1066 	113	23	0   	97	23	224
313	1068 	121	15	0   	54	14	192
137	22 	111	4 	0   	12	20	26
143	33 	128	6 	0   	9 	9 	15
144	36 	132	9 	0   	3 	3 	12
151	32 	126	8 	0   	17	17	25
337	1070 	136	23	0   	0 	0 	201
337	1073 	156	3 	0   	36	19	181
159	35 	131	8 	0   	20	20	28
168	43 	135	9 	0   	24	24	33
170	23 	113	8 	0   	41	19	57
172	7  	6 	35	0   	100	34	166
173	26 	117	9 	0   	30	1 	56
328	1071 	144	31	0   	0 	0 	184
328	1072 	155	20	0   	34	20	173
183	30 	123	10	0   	50	50	60
189	1057 	58	15	0   	108	15	131
337	1073 	156	3 	0   	36	19	181
313	1068 	121	15	0   	54	14	192
218	40 	133	4 	0   	34	26	85
222	46 	137	7 	0   	60	22	85
224	34 	130	14	0   	49	6 	94
250	45 	136	5 	0   	28	8 	114
253	29 	122	9 	0   	41	16	131
328	1074 	241	20	0   	0 	0 	87
328	1075 	251	10	0   	1 	1 	77
328	1076 	252	10	0   	53	10	76
328	1077 	254	8 	0   	31	7 	74
328	1075 	251	10	0   	1 	1 	77
328	1076 	252	10	0   	53	10	76
328	1077 	254	8 	0   	31	7 	74
313	1067 	115	20	0   	80	21	198
328	1072 	155	20	0   	34	20	173
328	1074 	241	20	0   	0 	0 	87
328	1075 	251	10	0   	1 	1 	77
328	1076 	252	10	0   	53	10	76
328	1077 	254	8 	0   	31	7 	74
313	21 	100	35	15  	103	0 	213
313	1064 	101	34	0   	0 	0 	212
313	1065 	106	29	0   	1 	1 	207
337	1066 	113	23	0   	97	23	224
337	1070 	136	23	0   	0 	0 	201
337	1073 	156	3 	0   	36	19	181
313	1068 	121	15	0   	54	14	192
313	1067 	115	20	0   	80	21	198
328	1069 	135	31	0   	86	9 	193
328	1071 	144	31	0   	0 	0 	184
328	1072 	155	20	0   	34	20	173
328	1074 	241	20	0   	0 	0 	87
328	1075 	251	10	0   	1 	1 	77
328	1076 	252	10	0   	53	10	76
328	1077 	254	8 	0   	31	7 	74
