TT	PID	AT	CT	IO_D	WT	RT	TRT
135	1085 	124	4 	0   	7 	7 	11
137	1087 	133	2 	0   	2 	2 	4
136	28 	121	8 	0   	7 	7 	15
136	27 	119	14	0   	0 	0 	17
137	1087 	133	2 	0   	2 	2 	4
142	29 	131	8 	0   	3 	3 	11
143	1088 	136	6 	0   	1 	1 	7
145	1090 	140	3 	0   	2 	2 	5
147	1089 	138	4 	0   	5 	5 	9
143	1088 	136	6 	0   	1 	1 	7
145	1090 	140	3 	0   	2 	2 	5
148	1091 	142	3 	0   	3 	3 	6
144	29 	131	8 	0   	5 	5 	13
146	1092 	142	2 	0   	2 	2 	4
148	1093 	143	1 	0   	4 	4 	5
145	1090 	140	3 	0   	2 	2 	5
148	1091 	142	3 	0   	3 	3 	6
146	1092 	142	2 	0   	2 	2 	4
147	1089 	138	4 	0   	5 	5 	9
148	1093 	143	1 	0   	4 	4 	5
148	1091 	142	3 	0   	3 	3 	6
195	1094 	148	26	0   	1 	1 	47
195	1096 	150	25	0   	4 	4 	45
213	1099 	161	18	0   	34	34	52
195	1097 	152	23	0   	0 	0 	43
200	1098 	154	21	0   	25	25	46
195	1097 	152	23	0   	0 	0 	43
200	1098 	154	21	0   	25	25	46
195	1096 	150	25	0   	4 	4 	45
213	1099 	161	18	0   	34	34	52
204	1100 	175	4 	0   	25	25	29
195	21 	100	35	6   	24	0 	95
195	1094 	148	26	0   	1 	1 	47
195	1096 	150	25	0   	4 	4 	45
213	1099 	161	18	0   	34	34	52
204	1100 	175	4 	0   	25	25	29
195	1097 	152	23	0   	0 	0 	43
200	1098 	154	21	0   	25	25	46
221	1101 	179	21	0   	21	21	42
223	1102 	181	19	0   	23	23	42
200	1095 	149	25	0   	26	26	51
227	1103 	186	14	0   	27	27	41
234	1104 	187	13	0   	34	34	47
200	1095 	149	25	0   	26	26	51
227	1103 	186	14	0   	27	27	41
234	1104 	187	13	0   	34	34	47
200	1098 	154	21	0   	25	25	46
221	1101 	179	21	0   	21	21	42
223	1102 	181	19	0   	23	23	42
204	1100 	175	4 	0   	25	25	29
249	1107 	200	4 	0   	45	45	49
237	1108 	201	3 	0   	33	33	36
213	1099 	161	18	0   	34	34	52
245	1105 	195	18	0   	32	32	50
237	1106 	199	14	0   	24	24	38
221	1101 	179	21	0   	21	21	42
252	1109 	206	15	0   	31	31	46
251	1110 	207	14	0   	30	30	44
223	1102 	181	19	0   	23	23	42
254	1111 	214	9 	0   	31	31	40
259	1112 	216	7 	0   	36	36	43
227	1103 	186	14	0   	27	27	41
262	1113 	216	11	0   	35	35	46
257	1116 	224	3 	0   	30	30	33
234	1104 	187	13	0   	34	34	47
274	1114 	222	12	0   	40	40	52
270	1115 	223	11	0   	36	36	47
237	1106 	199	14	0   	24	24	38
280	1118 	228	9 	0   	43	42	52
280	1120 	232	5 	0   	42	42	48
237	1108 	201	3 	0   	33	33	36
273	1121 	234	3 	0   	36	36	39
275	1122 	236	1 	0   	38	38	39
245	1105 	195	18	0   	32	32	50
275	1117 	227	18	0   	30	30	48
294	1119 	229	16	0   	46	46	65
249	1107 	200	4 	0   	45	45	49
251	1110 	207	14	0   	30	30	44
286	1124 	238	13	0   	35	35	48
306	1126 	242	9 	0   	53	47	64
252	1109 	206	15	0   	31	31	46
289	1123 	238	14	0   	37	37	51
303	1125 	242	10	0   	50	44	61
254	1111 	214	9 	0   	31	31	40
292	1128 	251	3 	0   	38	38	41
257	1116 	224	3 	0   	30	30	33
294	1129 	255	2 	0   	37	37	39
259	1112 	216	7 	0   	36	36	43
293	1131 	258	1 	0   	34	34	35
262	1113 	216	11	0   	35	35	46
286	1127 	251	11	0   	24	24	35
292	1130 	256	6 	0   	30	30	36
270	1115 	223	11	0   	36	36	47
302	1132 	261	9 	0   	32	32	41
273	1121 	234	3 	0   	36	36	39
274	1114 	222	12	0   	40	40	52
305	1134 	263	11	0   	31	31	42
317	1136 	264	10	0   	41	41	53
275	1122 	236	1 	0   	38	38	39
275	1117 	227	18	0   	30	30	48
300	1133 	261	14	0   	25	25	39
314	1135 	263	12	0   	39	39	51
280	1120 	232	5 	0   	42	42	48
280	1118 	228	9 	0   	43	42	52
286	1124 	238	13	0   	35	35	48
286	1127 	251	11	0   	24	24	35
323	1138 	277	9 	0   	37	37	46
289	1123 	238	14	0   	37	37	51
314	1137 	275	14	0   	25	25	39
315	1139 	288	1 	0   	26	26	27
292	1128 	251	3 	0   	38	38	41
306	1142 	291	1 	0   	14	14	15
292	1130 	256	6 	0   	30	30	36
317	1140 	290	2 	0   	25	25	27
293	1131 	258	1 	0   	34	34	35
294	1129 	255	2 	0   	37	37	39
294	1119 	229	16	0   	46	46	65
300	1133 	261	14	0   	25	25	39
326	1141 	291	9 	0   	26	26	35
314	1143 	292	8 	0   	14	14	22
302	1132 	261	9 	0   	32	32	41
330	1145 	295	7 	0   	28	28	35
334	1147 	298	4 	0   	32	32	36
303	1125 	242	10	0   	50	44	61
305	1134 	263	11	0   	31	31	42
324	1144 	295	10	0   	19	19	29
335	1146 	296	9 	0   	30	30	39
306	1142 	291	1 	0   	14	14	15
306	1126 	242	9 	0   	53	47	64
314	1137 	275	14	0   	25	25	39
345	1148 	303	11	0   	31	31	42
345	1149 	304	10	0   	31	31	41
314	1143 	292	8 	0   	14	14	22
340	1151 	308	6 	0   	26	26	32
314	1135 	263	12	0   	39	39	51
346	1152 	308	6 	0   	32	32	38
348	1153 	311	3 	0   	34	34	37
315	1139 	288	1 	0   	26	26	27
317	1140 	290	2 	0   	25	25	27
348	1154 	315	2 	0   	31	31	33
317	1136 	264	10	0   	41	41	53
334	1150 	305	10	0   	19	19	29
323	1138 	277	9 	0   	37	37	46
354	1155 	317	6 	0   	31	31	37
347	1156 	321	2 	0   	24	24	26
324	1144 	295	10	0   	19	19	29
326	1141 	291	9 	0   	26	26	35
349	1157 	324	2 	0   	23	23	25
330	1145 	295	7 	0   	28	28	35
354	1158 	324	6 	0   	24	24	30
358	1159 	326	4 	0   	28	28	32
334	1150 	305	10	0   	19	19	29
354	1160 	329	5 	0   	20	20	25
357	1161 	331	3 	0   	23	23	26
334	1147 	298	4 	0   	32	32	36
335	1146 	296	9 	0   	30	30	39
340	1151 	308	6 	0   	26	26	32
345	1149 	304	10	0   	31	31	41
358	1162 	341	4 	0   	13	13	17
364	1166 	343	2 	0   	19	19	21
345	1148 	303	11	0   	31	31	42
361	1165 	342	3 	0   	16	16	19
362	1167 	344	1 	0   	17	17	18
346	1152 	308	6 	0   	32	32	38
362	1163 	341	5 	0   	16	16	21
362	1164 	342	4 	0   	16	16	20
347	1156 	321	2 	0   	24	24	26
365	1170 	346	1 	0   	18	18	19
348	1153 	311	3 	0   	34	34	37
364	1168 	346	2 	0   	16	16	18
348	1154 	315	2 	0   	31	31	33
364	1169 	346	2 	0   	16	16	18
349	1157 	324	2 	0   	23	23	25
365	1171 	348	1 	0   	16	16	17
354	1155 	317	6 	0   	31	31	37
368	1172 	350	4 	0   	14	14	18
354	1158 	324	6 	0   	24	24	30
354	1160 	329	5 	0   	20	20	25
367	1173 	352	2 	0   	13	13	15
357	1161 	331	3 	0   	23	23	26
358	1159 	326	4 	0   	28	28	32
358	1162 	341	4 	0   	13	13	17
361	1165 	342	3 	0   	16	16	19
368	1174 	358	3 	0   	7 	7 	10
362	1164 	342	4 	0   	16	16	20
369	1175 	360	2 	0   	7 	7 	9
369	1176 	361	1 	0   	7 	7 	8
362	1163 	341	5 	0   	16	16	21
362	1167 	344	1 	0   	17	17	18
369	1177 	361	1 	0   	7 	7 	8
364	1168 	346	2 	0   	16	16	18
364	1166 	343	2 	0   	19	19	21
364	1169 	346	2 	0   	16	16	18
371	1178 	362	2 	0   	7 	7 	9
370	1179 	363	1 	0   	6 	6 	7
365	1170 	346	1 	0   	18	18	19
365	1171 	348	1 	0   	16	16	17
367	1173 	352	2 	0   	13	13	15
371	1180 	365	2 	0   	4 	4 	6
372	1182 	366	1 	0   	5 	5 	6
368	1174 	358	3 	0   	7 	7 	10
373	1181 	365	3 	0   	5 	5 	8
368	1172 	350	4 	0   	14	14	18
369	1175 	360	2 	0   	7 	7 	9
369	1176 	361	1 	0   	7 	7 	8
369	1177 	361	1 	0   	7 	7 	8
370	1179 	363	1 	0   	6 	6 	7
371	1178 	362	2 	0   	7 	7 	9
371	1180 	365	2 	0   	4 	4 	6
373	1183 	369	2 	0   	2 	2 	4
375	1185 	371	2 	0   	2 	2 	4
372	1182 	366	1 	0   	5 	5 	6
373	1183 	369	2 	0   	2 	2 	4
375	1185 	371	2 	0   	2 	2 	4
376	1187 	372	1 	0   	3 	3 	4
373	1181 	365	3 	0   	5 	5 	8
376	1184 	370	3 	0   	3 	3 	6
374	1186 	371	2 	0   	1 	1 	3
376	1188 	372	2 	0   	2 	2 	4
374	1186 	371	2 	0   	1 	1 	3
376	1188 	372	2 	0   	2 	2 	4
375	1185 	371	2 	0   	2 	2 	4
378	1189 	373	2 	0   	3 	3 	5
376	1187 	372	1 	0   	3 	3 	4
376	1184 	370	3 	0   	3 	3 	6
376	1188 	372	2 	0   	2 	2 	4
378	1189 	373	2 	0   	3 	3 	5

Processes: 374
Ave WT = 15, 	Ave RT = 15, 	Ave TRT = 23
Migration %: 	RTF = 5%, 	MaxW = 1%
Work Steal%: 0%
Forked Process: 42%
Killed Process: 0%

Processors:7 [3 FCFS, 2 SJF, 2 RR]
Processors Load
p1=4.22698%, 	p2=4.20382%, 	p3=3.92588%, 	p4=1.43602%, 	p5=0.822235%, 	p6=0.718008%, 	p7=0.324262%, 	

Processors Utiliz
p1=96%, 	p2=96%, 	p3=89%, 	p4=95%, 	p5=91%, 	p6=16%, 	p7=7%, 	
Avg Utilization = 70%
